Ticker,Nome,Categoria,Setor,Preço Atual,Dividendos 12M,DY (%),P/VP,Liquidez,Patrimônio,Atualizado Em,Erro
ALZR11,Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario,FII/UNIT,Real Estate,R$ 9.90,R$ 1.00,10.14%,0.0,342.73K,R$ 1.21B,2026-08-25 22:26:50,
BTAL11,FII Btg Pactual Agro Logistica,FII,Real Estate,R$ 80.70,R$ 11.75,14.56%,0.71,6.09K,R$ 482.81M,2026-08-25 22:26:51,
BTLG11,BTG Pactual Logística Fundo de Investimento Imobiliário,FII/UNIT,Real Estate,R$ 98.48,R$ 9.59,9.73%,0.95,124.31K,R$ 4.27B,2026-08-25 22:26:51,
CPTS11,Capitania Securities II Fundo Investimento Imobiliario FII,FII,Real Estate,R$ 7.37,R$ 1.07,14.59%,0.0,1.05M,R$ 2.42B,2026-08-25 22:26:52,
DEVA11,Devant Recebiveis Imobiliarios Fundo De Investimento Imobiliario,FII/UNIT,Real Estate,R$ 16.71,R$ 3.98,23.82%,0.0,29.65K,R$ 234.69M,2026-08-25 22:26:52,
GGRC11,Ggr Covipe Renda Fundo Investimento Imobiliario,FII/UNIT,Real Estate,R$ 9.10,R$ 1.10,12.09%,0.0,1.59M,R$ 1.39B,2026-08-25 22:26:52,
HCTR11,Fundo De Investimento Imobiliario Hectare Ce,FII/UNIT,Financial Services,R$ 14.07,R$ 3.39,24.09%,0.0,38.73K,R$ 310.72M,2026-08-25 22:26:53,
HFOF11,Hedge Top Fofii 3 Fundo Investimento Imobilirio,FII,Real Estate,R$ 6.25,R$ 0.70,11.2%,0.0,324.82K,R$ 1.41B,2026-08-25 22:26:53,
HGBS11,HEDGE Brasil Shopping Fundo de Investimento Imobiliário,FII/UNIT,Real Estate,R$ 18.70,R$ 1.93,10.32%,0.9,231.88K,R$ 2.41B,2026-08-25 22:26:53,
HGCR11,CSHG Recebiveis Imobiliarios BC Fundo de Investimento Imobiliario - FII,FII,Real Estate,R$ 92.26,R$ 11.80,12.79%,0.0,34.43K,R$ 1.42B,2026-08-25 22:26:54,
HGFF11,CSHG Imobiliario Fof - Fundo De Investimento Imobiliario - Fii,FII,Real Estate,R$ 0.00,R$ 4.65,0.0%,0.0,0.00,R$ 0.00,2026-08-25 22:26:54,
HGLG11,Cshg Logistica - Fundo De Investimento Imobiliario,FII/UNIT,Real Estate,R$ 147.24,R$ 13.27,9.01%,0.93,108.39K,R$ 4.97B,2026-08-25 22:26:55,
